138,NULL,AAA Batteries (4-pack),5,2.99,14.95,NULL,NULL,25Terna,2024-03-03 00:000:00
139,NULL,Apple Airpods Headphones,4,150,600,NULL,NULL,33Terna,2024-03-12 00:000:00
140,NULL,Apple Airpods Headphones,8,150,1200,NULL,NULL,34Terna,2024-03-23 00:000:00
141,NULL,Bose SoundSport Headphones,3,99.99,299.97,NULL,NULL,35Terna,2024-03-23 00:000:00
142,NULL,Wired Headphones,5,11.99,59.95,NULL,NULL,25Terna,2024-03-04 00:000:00
143,NULL,Apple Airpods Headphones,4,150,600,NULL,NULL,26Terna,2024-03-04 00:000:00
144,NULL,ThinkPad Laptop,1,999.99,999.99,NULL,NULL,27Terna,2024-03-15 00:000:00
145,NULL,AAA Batteries (4-pack),3,2.99,8.97,NULL,NULL,28Terna,2024-03-04 00:000:00
146,NULL,AAA Batteries (4-pack),2,2.99,5.98,NULL,NULL,29Terna,2024-03-05 00:000:00
147,NULL,ThinkPad Laptop,3,999.99,2999.97,NULL,NULL,30Terna,2024-03-31 00:000:00
148,NULL,AA Batteries (4-pack),3,3.84,11.52,NULL,NULL,31Terna,2024-03-05 00:000:00
149,NULL,AA Batteries (4-pack),2,3.84,7.68,NULL,NULL,32Terna,2024-03-12 00:000:00
150,NULL,Vareebadd Phone,2,400,800,NULL,NULL,33Terna,2024-03-13 00:000:00
151,NULL,Apple Airpods Headphones,3,150,450,NULL,NULL,34Terna,2024-03-07 00:000:00
152,NULL,Wired Headphones,2,11.99,23.98,NULL,NULL,35Terna,2024-03-28 00:000:00
153,NULL,Apple Airpods Headphones,2,150,300,NULL,NULL,36Terna,2024-03-04 00:000:00
154,NULL,USB-C Charging Cable,2,11.95,23.9,NULL,NULL,37Terna,2024-03-14 00:000:00
155,NULL,USB-C Charging Cable,4,11.95,47.8,NULL,NULL,38Terna,2024-03-21 00:000:00
156,NULL,Lightning Charging Cable,8,14.95,119.6,NULL,NULL,39Terna,2024-03-27 00:000:00
157,NULL,AA Batteries (4-pack),3,3.84,11.52,NULL,NULL,40Terna,2024-03-12 00:000:00
158,NULL,Wired Headphones,4,11.99,47.96,NULL,NULL,41Terna,2024-03-02 00:000:00
159,NULL,USB-C Charging Cable,2,11.95,23.9,NULL,NULL,42Terna,2024-03-18 00:000:00
160,NULL,Bose SoundSport Headphones,1,99.99,99.99,NULL,NULL,43Terna,2024-03-08 00:000:00
161,NULL,USB-C Charging Cable,2,11.95,23.9,NULL,NULL,44Terna,2024-03-10 00:000:00
162,NULL,Google Phone,3,600,1800,NULL,NULL,45Terna,2024-03-28 00:000:00
163,NULL,AA Batteries (4-pack),2,3.84,7.68,NULL,NULL,46Terna,2024-03-19 00:000:00
164,NULL,Apple Airpods Headphones,2,150,300,NULL,NULL,47Terna,2024-03-17 00:000:00
165,NULL,Lightning Charging Cable,1,14.95,14.95,NULL,NULL,48Terna,2024-03-30 00:000:00
166,NULL,Apple Airpods Headphones,2,150,300,NULL,NULL,49Terna,2024-03-27 00:000:00
167,NULL,Wired Headphones,4,11.99,47.96,NULL,NULL,36Terna,2024-03-12 00:000:00
168,NULL,Bose SoundSport Headphones,4,99.99,399.96,NULL,NULL,37Terna,2024-03-12 00:000:00
169,NULL,Wired Headphones,4,11.99,47.96,NULL,NULL,38Terna,2024-03-28 00:000:00
170,NULL,USB-C Charging Cable,4,11.95,47.8,NULL,NULL,39Terna,2024-03-21 00:000:00
171,NULL,Flatscreen TV,4,300,1200,NULL,NULL,Shanti Nagar,2024-03-19 00:000:00
172,NULL,Bose SoundSport Headphones,4,99.99,399.96,NULL,NULL,Shanti Nagar,2024-03-18 00:000:00
173,NULL,Wired Headphones,1,11.99,11.99,NULL,NULL,Shanti Nagar,2024-03-01 00:000:00
174,NULL,Macbook Pro Laptop,1,1700,1700,NULL,NULL,Shanti Nagar,2024-03-16 00:000:00
175,NULL,AAA Batteries (4-pack),2,2.99,5.98,NULL,NULL,Shanti Nagar,2024-03-30 00:000:00
